"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"14891","82","GO Cellular Component","","Intracellular anatomical structure","2.9E-4","ABCC6|ABCD1|ACP5|ABHD11|ACTA2|ACOT13|AADAC|ACADL|ACOT2|ACTR5|ACKR4|ABHD17A|ACTN4|ACSBG1|ABCC9|AARS1|ACTR3|ABCB6|ABCB4|ACAT1|ABHD2|ACP1|ABCA12|ABT1|ABLIM1|AASDHPPT|ACAD8|ABCA6|ACAA2|ACE|ACOX1|ABHD6|ABCE1|ABCB8|ABCA3|ACHE|ACOT1|ABCF1|A2M|AACS|ACSM5|ACAA1|ACSL4|ACVR2B|ACACB|ACOX3|ABCD4|ACSL3|ABCG1|ACTN2|ACKR1|ACTR1A|ABCA4|ACOT11|ABCC10|ABCA1|ACOT7|ACTR2|ACY1|AAK1|ACTG2|ACE2|ACTL6A|AARSD1|AAMP|AASS|ACSL1|ABLIM3|ABCB9|ACVR1B|ACSS3|ACTG1|ACP6|ACLY|ABCA8|AATF|ABCB1|ABHD14A-ACY1|ACTB|ABHD5|ABCG2|ACSL6","85041","85193|85151|85301|85244|85130|85286|85181|85289|85310|85361|85139|85292|85160|85367|85166|85226|85223|85364|85169|85376|85250|85145|85208|85148|85265|85358|85157|85325|85214|85298|85220|85262|85268|85274|85241|85154|85337|85343|85370|85304|85295|85133|85385|85175|85229|85349|85259|85319|85196|85373|85205|85382|85328|85163|85340|85334|85178|85316|85235|85277|85256|85271|85238|85187|85172|85217|85355|85331|85142|85211|85247|85202|85199|85253|85313|85190|85352|85136|85346|85283|85280|85232","9.93E-7","","GO:0005622","0.3537602002101044","0"
"20","4","GO Molecular Function","","C-acyltransferase activity","2.9E-4","ACAT1|ACAA2|ACSM5|ACAA1","85041","85376|85214|85295|85133","3.31E-6","","GO:0016408","0.3537602002101044","0"
"3957","37","GO Cellular Component","","Vesicle","3.2E-4","ACTA2|ACKR4|ABHD17A|ACTN4|ACSBG1|AARS1|ACTR3|ABCB6|ABCB4|ACAT1|ABHD2|ACP1|ABCA12|AASDHPPT|ACE|ABHD6|ABCA3|A2M|ACAA1|ACSL4|ABCG1|ACTN2|ACKR1|ACTR1A|ABCA4|ACOT11|ABCA1|ACOT7|ACTR2|ACY1|AAK1|ACTG2|ACE2|ACTG1|ACLY|ABCB1|ACTB","85041","85130|85139|85292|85160|85367|85226|85223|85364|85169|85376|85250|85145|85208|85358|85298|85262|85241|85370|85133|85385|85196|85373|85205|85382|85328|85163|85334|85178|85316|85235|85277|85256|85271|85202|85253|85352|85346","1.24E-6","","GO:0031982","0.34948500216800943","0"
"482","12","GO Cellular Component","","Actin cytoskeleton","3.3E-4","ACTA2|ACTN4|ACTR3|ABCB4|ABLIM1|ACTN2|ACTR1A|ACTR2|ACTG2|ABLIM3|ACTG1|ACTB","85041","85130|85160|85223|85169|85265|85373|85382|85316|85256|85331|85202|85346","1.47E-6","","GO:0015629","0.34814860601221126","0"
"71","6","STRING Clusters","","Mixed, incl. Xenobiotic transport, and Recycling of bile acids and salts","3.4E-4","ABCA6|ABCC3|ABCC10|ABCA8|ABCB1|ABCG2","85041","85325|85307|85340|85313|85352|85280","1.05E-6","","CL:12193","0.34685210829577445","0"
"14","4","InterPro Domains","","Acyl-CoA oxidase/dehydrogenase, middle domain","3.7E-4","ACADL|ACAD8|ACOX1|ACOX3","85041","85289|85157|85220|85349","9.72E-7","","IPR006091","0.3431798275933005","0"
"5","3","GO Molecular Function","","Activin receptor activity, type I","3.8E-4","ACVRL1|ACVR1|ACVR1B","85041","85322|85184|85211","4.37E-6","","GO:0016361","0.342021640338319","0"
"494","12","GO Cellular Component","","Mitochondrial matrix","3.9E-4","ACOT13|ACADL|ACOT2|ACAT1|ACAD8|ACAA2|ABCE1|ACSM5|ACOT11|AASS|ACSS3|ACP6","85041","85286|85289|85310|85376|85157|85214|85268|85295|85163|85217|85247|85199","1.89E-6","","GO:0005759","0.3408935392973501","0"
"2103","25","GO Biological Process","","Regulation of localization","4.1E-4","ABHD17A|ACTN4|ABCC9|ABCB4|ABCA12|ACAA2|ACE|ABCA3|ACHE|AACS|ACSL4|ACACB|ACSL3|ABCG1|ACTN2|ABCA1|AAK1|ACE2|ACSL1|ABLIM3|ACTG1|ABCA8|ABCB1|ACTB|ABHD5","85041","85292|85160|85166|85169|85208|85214|85298|85241|85154|85304|85385|85229|85319|85196|85373|85334|85277|85271|85355|85331|85202|85313|85352|85346|85283","2.39E-6","","GO:0032879","0.33872161432802644","0"
"2347","26","GO Molecular Function","","Hydrolase activity","4.4E-4","ABCD1|ACP5|ABHD11|ACOT13|AADAC|ACOT2|ABHD17A|AARS1|ABCB6|ABHD2|ACP1|ACAA2|ACE|ABHD6|ABCA3|ACHE|ACOT1|ABCA4|ACOT11|ACOT7|ACY1|ACE2|AARSD1|ACP6|ABHD14A-ACY1|ABHD5","85041","85151|85301|85244|85286|85181|85310|85292|85226|85364|85250|85145|85214|85298|85262|85241|85154|85337|85328|85163|85178|85235|85271|85187|85199|85136|85283","5.13E-6","","GO:0016787","0.33565473235138127","0"
"15","4","InterPro Domains","","Acyl-CoA dehydrogenase/oxidase, N-terminal and middle domain superfamily","4.4E-4","ACADL|ACAD8|ACOX1|ACOX3","85041","85289|85157|85220|85349","1.23E-6","","IPR009100","0.33565473235138127","0"
