"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"11","3","GO Biological Process","","Purine nucleoside bisphosphate catabolic process","0.0036","ABCD1|ACAT1|ACOT7","85041","85151|85376|85178","2.79E-5","","GO:0034034","0.24436974992327126","0"
"11","3","Reactome Pathways","","Beta-oxidation of very long chain fatty acids","0.0036","ABCD1|ACOX1|ACAA1","85041","85151|85220|85133","2.79E-5","","HSA-390247","0.24436974992327126","0"
"36","4","Reactome Pathways","","RHO GTPases Activate WASPs and WAVEs","0.0036","ACTR3|ACTR2|ACTG1|ACTB","85041","85223|85316|85202|85346","2.7E-5","","HSA-5663213","0.24436974992327126","0"
"4512","37","GO Biological Process","","Localization","0.0037","ABCC6|ABCD1|ACKR4|ABHD17A|ACTN4|ABCC9|ACTR3|ABCB6|ABCB4|ABCA12|ABCA6|ACAA2|ABCC3|ACE|ABCE1|ABCB8|ABCA3|ACHE|ACVR2B|ABCD4|ACSL3|ABCG1|ACTN2|ACTR1A|ABCA4|ABCC10|ABCA1|ACTR2|AAK1|ACE2|ACSL1|ABCB9|ACTG1|ABCA8|ABCB1|ACTB|ABCG2","85041","85193|85151|85139|85292|85160|85166|85223|85364|85169|85208|85325|85214|85307|85298|85268|85274|85241|85154|85175|85259|85319|85196|85373|85382|85328|85340|85334|85316|85277|85271|85355|85142|85202|85313|85352|85346|85280","2.92E-5","","GO:0051179","0.2431798275933005","0"
"14","3","GO Molecular Function","","Efflux transmembrane transporter activity","0.0037","ABCB6|ABCB1|ABCG2","85041","85364|85352|85280","5.16E-5","","GO:0015562","0.2431798275933005","0"
"203","7","GO Cellular Component","","Lamellipodium","0.0039","ACTA2|ACTR3|ABLIM1|ACTR2|ACTG2|ABLIM3|ACTB","85041","85130|85223|85265|85316|85256|85331|85346","3.63E-5","","GO:0030027","0.24089353929735008","0"
"14017","77","GO Cellular Component","","Organelle","0.0039","ABCC6|ABCD1|ACP5|ABHD11|ACTA2|ACOT13|AADAC|ACADL|ACOT2|ACTR5|ACKR4|ABHD17A|ACTN4|ACSBG1|ABCC9|AARS1|ACTR3|ABCB6|ABCB4|ACAT1|ABHD2|ACP1|ABCA12|ABT1|ABLIM1|AASDHPPT|ACAD8|ABCA6|ACAA2|ACE|ACOX1|ABHD6|ABCE1|ABCB8|ABCA3|ACHE|ABCF1|A2M|ACSM5|ACAA1|ACSL4|ACACB|ACOX3|ABCD4|ACSL3|ABCG1|ACTN2|ACKR1|ACTR1A|ABCA4|ACOT11|ABCC10|ABCA1|ACOT7|ACTR2|ACY1|AAK1|ACTG2|ACE2|ACTL6A|AARSD1|AAMP|AASS|ACSL1|ABLIM3|ABCB9|ACSS3|ACTG1|ACP6|ACLY|ABCA8|AATF|ABCB1|ACTB|ABHD5|ABCG2|ACSL6","85041","85193|85151|85301|85244|85130|85286|85181|85289|85310|85361|85139|85292|85160|85367|85166|85226|85223|85364|85169|85376|85250|85145|85208|85148|85265|85358|85157|85325|85214|85298|85220|85262|85268|85274|85241|85154|85343|85370|85295|85133|85385|85229|85349|85259|85319|85196|85373|85205|85382|85328|85163|85340|85334|85178|85316|85235|85277|85256|85271|85238|85187|85172|85217|85355|85331|85142|85247|85202|85199|85253|85313|85190|85352|85346|85283|85280|85232","3.76E-5","","GO:0043226","0.24089353929735008","0"
"1076","18","DISEASES","","Disease of metabolism","0.004","ACTA2|ACAT1|ACAD8|ABCC3|ACE|ACOX1|A2M|ACAA1|ABCD4|ABCG1|ABCA1|ACOT7|AASS|ACTG1|ABCB1|ACTB|ABHD5|ABCG2","85041","85130|85376|85157|85307|85298|85220|85370|85133|85259|85196|85334|85178|85217|85202|85352|85346|85283|85280","8.65E-7","","DOID:0014667","0.23979400086720376","0"
"38","4","GO Biological Process","","Intracellular lipid transport","0.0041","ABCD1|ABCD4|ABCG1|ABCA1","85041","85151|85259|85196|85334","3.28E-5","","GO:0032365","0.23872161432802647","0"
"12","3","GO Biological Process","","Fatty acid beta-oxidation using acyl-CoA oxidase","0.0043","ACOX1|ACAA1|ACOX3","85041","85220|85133|85349","3.47E-5","","GO:0033540","0.23665315444204132","0"
"12","3","GO Biological Process","","Phospholipid efflux","0.0043","ABCA12|ABCG1|ABCA1","85041","85208|85196|85334","3.47E-5","","GO:0033700","0.23665315444204132","0"
"39","4","GO Biological Process","","Icosanoid transport","0.0044","ABCC6|ABCC3|ACE|ABCC10","85041","85193|85307|85298|85340","3.61E-5","","GO:0071715","0.23565473235138126","0"
"10","3","InterPro Domains","","Activin types I and II receptor domain","0.0048","ACVR2B|ACVR1|ACVR1B","85041","85175|85184|85211","2.2E-5","","IPR000472","0.23187587626244127","0"
"10","3","InterPro Domains","","Thiolase-like","0.0048","ACAT1|ACAA2|ACAA1","85041","85376|85214|85133","2.2E-5","","IPR016039","0.23187587626244127","0"
"3535","31","COMPARTMENTS","","Plasma membrane","0.0052","ABCC6|ACKR4|ABHD17A|ACSBG1|ABCC9|ABCB6|ABCB4|ABHD2|ACP1|ABCA6|ABCC3|ACE|ABCB8|ACHE|ACSL4|ACVR2B|ABCD4|ABCG1|ACKR1|ABCC10|ABCA1|ACVRL1|AAK1|ACE2|AAMP|ACVR1|ACVR1B|ABCA8|ABCB1|ABCG2|ACSL6","85041","85193|85139|85292|85367|85166|85364|85169|85250|85145|85325|85307|85298|85274|85154|85385|85175|85259|85196|85205|85340|85334|85322|85277|85271|85172|85184|85211|85313|85352|85280|85232","5.39E-5","","GOCC:0005886","0.2283996656365201","0"
"1606","19","COMPARTMENTS","","Intrinsic component of membrane","0.0052","ABCD1|ACP5|ACKR4|ABHD17A|ABCC9|ABCB6|ABCB4|ABCA12|ACE|ABCB8|ACVR2B|ABCD4|ABCA1|ACVRL1|ACVR1|ABCB9|ACVR1B|ABCB1|ABCG2","85041","85151|85301|85139|85292|85166|85364|85169|85208|85298|85274|85175|85259|85334|85322|85184|85142|85211|85352|85280","5.62E-5","","GOCC:0031224","0.2283996656365201","0"
"25","3","KEGG Pathways","","alpha-Linolenic acid metabolism","0.0054","ACOX1|ACAA1|ACOX3","85041","85220|85133|85349","2.4E-4","","hsa00592","0.22676062401770314","0"
"290","8","GO Biological Process","","Cellular amino acid metabolic process","0.0056","AARS1|ACAT1|AASDHPPT|ACAD8|ACY1|AARSD1|AASS|ABHD14A-ACY1","85041","85226|85376|85358|85157|85235|85187|85217|85136","4.62E-5","","GO:0006520","0.22518119729937996","0"
"9","3","Pfam","","Activin types I and II receptor domain","0.0056","ACVR2B|ACVR1|ACVR1B","85041","85175|85184|85211","1.7E-5","","PF01064","0.22518119729937996","0"
"13231","74","GO Cellular Component","","Intracellular organelle","0.0057","ABCC6|ABCD1|ACP5|ABHD11|ACTA2|ACOT13|AADAC|ACADL|ACOT2|ACTR5|ACKR4|ABHD17A|ACTN4|ACSBG1|ABCC9|AARS1|ACTR3|ABCB6|ABCB4|ACAT1|ABHD2|ABCA12|ABT1|ABLIM1|ACAD8|ABCA6|ACAA2|ACE|ACOX1|ABHD6|ABCE1|ABCB8|ABCA3|ACHE|ABCF1|A2M|ACSM5|ACAA1|ACSL4|ACACB|ACOX3|ABCD4|ACSL3|ABCG1|ACTN2|ACKR1|ACTR1A|ABCA4|ACOT11|ABCC10|ABCA1|ACOT7|ACTR2|AAK1|ACTG2|ACE2|ACTL6A|AARSD1|AAMP|AASS|ACSL1|ABLIM3|ABCB9|ACSS3|ACTG1|ACP6|ACLY|ABCA8|AATF|ABCB1|ACTB|ABHD5|ABCG2|ACSL6","85041","85193|85151|85301|85244|85130|85286|85181|85289|85310|85361|85139|85292|85160|85367|85166|85226|85223|85364|85169|85376|85250|85208|85148|85265|85157|85325|85214|85298|85220|85262|85268|85274|85241|85154|85343|85370|85295|85133|85385|85229|85349|85259|85319|85196|85373|85205|85382|85328|85163|85340|85334|85178|85316|85277|85256|85271|85238|85187|85172|85217|85355|85331|85142|85247|85202|85199|85253|85313|85190|85352|85346|85283|85280|85232","5.84E-5","","GO:0043229","0.22441251443275084","0"
"11","3","InterPro Domains","","HotDog domain superfamily","0.0057","ACOT13|ACOT11|ACOT7","85041","85286|85163|85178","2.79E-5","","IPR029069","0.22441251443275084","0"
"42","4","Reactome Pathways","","EPHB-mediated forward signaling","0.0057","ACTR3|ACTR2|ACTG1|ACTB","85041","85223|85316|85202|85346","4.72E-5","","HSA-3928662","0.22441251443275084","0"
"15148","81","TISSUES","","Animal","0.0058","ABCC6|ABCD1|ACP5|ABCF2|ABHD11|ACTA2|ACOT13|AADAC|ACADL|ACOT2|ACTR5|ABHD17A|ACTN4|ACSBG1|AARS1|ACTR3|ABCB6|ABCB4|ACAT1|ABHD2|ACP1|ABCA12|ABT1|ABLIM1|AASDHPPT|ACAD8|ABCA6|ACAA2|ABCC3|ACE|ACOX1|ABHD6|ABCE1|ABCB8|ABCA3|ACHE|ABCF1|A2M|AACS|ACSM5|ACAA1|ACSL4|ACVR2B|ACACB|ACOX3|ABCD4|ACSL3|ABCG1|ACTN2|ACKR1|ACTR1A|ABCA4|ACOT11|ABCC10|ABCA1|ACOT7|ACTR2|ACVRL1|ACY1|AAK1|ACTG2|ACE2|ACTL6A|AAMP|AASS|ACVR1|ACSL1|ABLIM3|ABCB9|ACVR1B|ACSS3|ACTG1|ACP6|ACLY|ABCA8|AATF|ABCB1|ACTB|ABHD5|ABCG2|ACSL6","85041","85193|85151|85301|85379|85244|85130|85286|85181|85289|85310|85361|85292|85160|85367|85226|85223|85364|85169|85376|85250|85145|85208|85148|85265|85358|85157|85325|85214|85307|85298|85220|85262|85268|85274|85241|85154|85343|85370|85304|85295|85133|85385|85175|85229|85349|85259|85319|85196|85373|85205|85382|85328|85163|85340|85334|85178|85316|85322|85235|85277|85256|85271|85238|85172|85217|85184|85355|85331|85142|85211|85247|85202|85199|85253|85313|85190|85352|85346|85283|85280|85232","1.68E-5","","BTO:0000042","0.22365720064370626","0"
"3181","29","GO Biological Process","","Organic cyclic compound metabolic process","0.0062","ABCC6|ABCD1|ACOT2|ACTR5|ACSBG1|AARS1|ABCB6|ACAT1|ABT1|AASDHPPT|ACAA2|ACOT1|ACSM5|ACAA1|ACSL4|ACACB|ABCD4|ACSL3|ABCG1|ACOT11|ABCA1|ACOT7|ACTL6A|AARSD1|AASS|ACSL1|ABLIM3|ACLY|ACSL6","85041","85193|85151|85310|85361|85367|85226|85364|85376|85148|85358|85214|85337|85295|85133|85385|85229|85259|85319|85196|85163|85334|85178|85238|85187|85217|85355|85331|85253|85232","5.22E-5","","GO:1901360","0.2207608310501746","0"
"27","3","KEGG Pathways","","Butanoate metabolism","0.0062","ACAT1|AACS|ACSM5","85041","85376|85304|85295","3.0E-4","","hsa00650","0.2207608310501746","0"
"2356","24","GO Biological Process","","Macromolecule localization","0.0063","ABCD1|ABHD17A|ACTN4|ABCB4|ABCA12|ABCA6|ABCC3|ACE|ABCA3|ACVR2B|ABCD4|ACSL3|ABCG1|ACTN2|ABCA4|ABCC10|ABCA1|ACSL1|ABCB9|ACTG1|ABCA8|ABCB1|ACTB|ABCG2","85041","85151|85292|85160|85169|85208|85325|85307|85298|85241|85175|85259|85319|85196|85373|85328|85340|85334|85355|85142|85202|85313|85352|85346|85280","5.3E-5","","GO:0033036","0.22006594505464183","0"
"1507","18","COMPARTMENTS","","Integral component of membrane","0.0072","ABCD1|ACP5|ACKR4|ABCC9|ABCB6|ABCB4|ABCA12|ACE|ABCB8|ACVR2B|ABCD4|ABCA1|ACVRL1|ACVR1|ABCB9|ACVR1B|ABCB1|ABCG2","85041","85151|85301|85139|85166|85364|85169|85208|85298|85274|85175|85259|85334|85322|85184|85142|85211|85352|85280","8.13E-5","","GOCC:0016021","0.21426675035687315","0"
"12","3","STRING Clusters","","ABC-type xenobiotic transporter activity, and ABC transporters in lipid homeostasis","0.0073","ABCA6|ABCC10|ABCA8","85041","85325|85340|85313","3.47E-5","","CL:12311","0.21366771398795442","0"
"39","4","STRING Clusters","","Mixed, incl. Acylglycerol lipase activity, and Protein depalmitoylation","0.0073","ABHD11|ABHD17A|ABHD2|ABHD6","85041","85244|85292|85250|85262","3.61E-5","","CL:13000","0.21366771398795442","0"
"1816","21","TISSUES","","Gastrointestinal tract","0.0078","ABCF2|ACTA2|AADAC|ACTR3|ACP1|ABT1|AASDHPPT|ACOX1|ABCE1|A2M|AACS|ACSL4|ACTR1A|ABCC10|ACOT7|ACTG2|ACE2|AASS|ABLIM3|ACTG1|ACTB","85041","85379|85130|85181|85223|85145|85148|85358|85220|85268|85370|85304|85385|85382|85340|85178|85256|85271|85217|85331|85202|85346","2.9E-5","","BTO:0000511","0.21079053973095196","0"
"2","2","GO Molecular Function","","Peptidyl-dipeptidase activity","0.0079","ACE|ACE2","85041","85298|85271","1.1E-4","","GO:0008241","0.21023729087095586","0"
"17","3","GO Cellular Component","","Dynactin complex","0.008","ACTA2|ACTR1A|ACTG2","85041","85130|85382|85256","8.57E-5","","GO:0005869","0.20969100130080562","0"
"949","16","DISEASES","","Inherited metabolic disorder","0.0081","ACTA2|ACAT1|ACAD8|ABCC3|ACE|ACOX1|ACAA1|ABCD4|ABCG1|ABCA1|ACOT7|AASS|ACTG1|ABCB1|ACTB|ABHD5","85041","85130|85376|85157|85307|85298|85220|85133|85259|85196|85334|85178|85217|85202|85352|85346|85283","3.52E-6","","DOID:655","0.20915149811213504","0"
"51","4","COMPARTMENTS","","Peroxisomal matrix","0.0082","ACOT2|ACOX1|ACAA1|ACOX3","85041","85310|85220|85133|85349","9.58E-5","","GOCC:0005782","0.20861861476162832","0"
"23","3","WikiPathways","","Photodynamic therapy-induced NFE2L2 (NRF2) survival signaling","0.0083","ABCC6|ABCC3|ABCG2","85041","85193|85307|85280","1.9E-4","","WP3612","0.20809219076239263","0"
"1494","18","GO Biological Process","","Cellular nitrogen compound biosynthetic process","0.0084","ACP5|ACSBG1|AARS1|ABCB6|ACAT1|ABT1|ABCE1|ABCF1|ACSL4|ACACB|ACSL3|ACOT7|AARSD1|ACSL1|ABLIM3|ACLY|ABCA8|ACSL6","85041","85301|85367|85226|85364|85376|85148|85268|85343|85385|85229|85319|85178|85187|85355|85331|85253|85313|85232","7.28E-5","","GO:0044271","0.20757207139381184","0"
"155","6","GO Biological Process","","Positive regulation of lipid metabolic process","0.0084","ABCD1|AADAC|ABHD6|ACSL3|ABCG1|ABHD5","85041","85151|85181|85262|85319|85196|85283","7.27E-5","","GO:0045834","0.20757207139381184","0"
"47","4","GO Biological Process","","Negative regulation of cold-induced thermogenesis","0.0084","ACOT13|ABHD6|ACVR2B|ACOT11","85041","85286|85262|85175|85163","7.12E-5","","GO:0120163","0.20757207139381184","0"
"47","4","GO Biological Process","","Negative regulation of lipid localization","0.0084","ACSL4|ABCG1|ABCA1|ABHD5","85041","85385|85196|85334|85283","7.12E-5","","GO:1905953","0.20757207139381184","0"
"1612","18","UniProt Keywords","","Hydrolase","0.0085","ACP5|ABHD11|ACOT13|AADAC|ACOT2|ABHD17A|ABHD2|ACP1|ACAA2|ACE|ABHD6|ACHE|ACOT1|ACOT11|ACOT7|ACY1|ACE2|ACP6","85041","85301|85244|85286|85181|85310|85292|85250|85145|85214|85298|85262|85154|85337|85163|85178|85235|85271|85199","1.9E-4","","KW-0378","0.20705810742857073","0"
"13","3","InterPro Domains","","Acyl-CoA dehydrogenase/oxidase, N-terminal domain superfamily","0.0085","ACADL|ACAD8|ACOX1","85041","85289|85157|85220","4.26E-5","","IPR037069","0.20705810742857073","0"
"41","4","InterPro Domains","","Snake toxin-like superfamily","0.0085","ACVR2B|ACVRL1|ACVR1|ACVR1B","85041","85175|85322|85184|85211","4.33E-5","","IPR045860","0.20705810742857073","0"
"5544","41","GO Cellular Component","","Plasma membrane","0.0087","ABCC6|ACKR4|ABHD17A|ACTN4|ACSBG1|ABCC9|ABCB6|ABCB4|ABHD2|ACP1|ABCA12|ABCA6|ABCC3|ACE|ABHD6|ABCB8|ABCA3|ACHE|ACSL4|ACVR2B|ABCD4|ACSL3|ABCG1|ACKR1|ABCA4|ABCC10|ABCA1|ACVRL1|AAK1|ACE2|ACTL6A|AAMP|ACVR1|ACSL1|ACVR1B|ACTG1|ABCA8|ABCB1|ACTB|ABCG2|ACSL6","85041","85193|85139|85292|85160|85367|85166|85364|85169|85250|85145|85208|85325|85307|85298|85262|85274|85241|85154|85385|85175|85259|85319|85196|85205|85328|85340|85334|85322|85277|85271|85238|85172|85184|85355|85211|85202|85313|85352|85346|85280|85232","9.81E-5","","GO:0005886","0.20604807473813813","0"
"52","4","GO Cellular Component","","Peroxisomal matrix","0.0088","ACOT2|ACOX1|ACAA1|ACOX3","85041","85310|85220|85133|85349","1.0E-4","","GO:0005782","0.20555173278498312","0"
"64","4","WikiPathways","","Ferroptosis","0.009","ACSL4|ACSL3|ACSL1|ACSL6","85041","85385|85319|85355|85232","2.2E-4","","WP4313","0.2045757490560675","0"
"428","9","COMPARTMENTS","","Extracellular exosome","0.0093","ACTN4|ABCB6|ACE|A2M|ACY1|ACE2|ACTG1|ABCB1|ACTB","85041","85160|85364|85298|85370|85235|85271|85202|85352|85346","1.2E-4","","GOCC:0070062","0.20315170514460648","0"
"17","3","GO Biological Process","","Phospholipid homeostasis","0.0098","ABCA3|ABCG1|ABCA1","85041","85241|85196|85334","8.57E-5","","GO:0055091","0.20087739243075053","0"
"50","4","GO Biological Process","","Regulation of lipid storage","0.0101","ACACB|ABCG1|ABCA1|ABHD5","85041","85229|85196|85334|85283","8.92E-5","","GO:0010883","0.19956786262173573","0"
"21","3","GO Molecular Function","","fatty-acyl-CoA binding","0.0104","ACADL|ACOT11|ACOT7","85041","85289|85163|85178","1.5E-4","","GO:0000062","0.19829666607012197","0"
"163","6","GO Biological Process","","Organic hydroxy compound transport","0.0107","ABCA12|ABCC3|ABCG1|ABCA4|ABCA1|ABCA8","85041","85208|85307|85196|85328|85334|85313","9.5E-5","","GO:0015850","0.19706162223147902","0"
"51","4","GO Biological Process","","Phospholipid translocation","0.0107","ABCB4|ABCA4|ABCA1|ABCB1","85041","85169|85328|85334|85352","9.58E-5","","GO:0045332","0.19706162223147902","0"
"2609","25","GO Biological Process","","Cellular response to chemical stimulus","0.0107","AADAC|ACKR4|ACTN4|ACTR3|ABCB6|ABCB4|ABHD2|ACAA2|ABCC3|ACE|ACHE|ACAA1|ACVR2B|ABCD4|ACTN2|ACKR1|ABCA1|ACTR2|ACVRL1|ACVR1|ACSL1|ACVR1B|ACTG1|ACTB|ABCG2","85041","85181|85139|85160|85223|85364|85169|85250|85214|85307|85298|85154|85133|85175|85259|85373|85205|85334|85316|85322|85184|85355|85211|85202|85346|85280","9.57E-5","","GO:0070887","0.19706162223147902","0"
"861","13","GO Biological Process","","Response to organic cyclic compound","0.0108","ACSBG1|ABCC9|ABCB4|ACAT1|ABHD2|ACE|ABCA3|A2M|ACACB|ACTR2|ACVR1|ACSL1|ACTB","85041","85367|85166|85169|85376|85250|85298|85241|85370|85229|85316|85184|85355|85346","9.79E-5","","GO:0014070","0.19665762445130502","0"
"2021","22","TISSUES","","Alimentary canal","0.0108","ABCF2|ACTA2|AADAC|ACTN4|ACTR3|ACP1|ABT1|AASDHPPT|ACOX1|ABCE1|A2M|AACS|ACSL4|ACTR1A|ABCC10|ACOT7|ACTG2|ACE2|AASS|ABLIM3|ACTG1|ACTB","85041","85379|85130|85181|85160|85223|85145|85148|85358|85220|85268|85370|85304|85385|85382|85340|85178|85256|85271|85217|85331|85202|85346","4.47E-5","","BTO:0000058","0.19665762445130502","0"
"125","5","UniProt Keywords","","Mitochondrion outer membrane","0.0108","ABCB6|ACSL4|ACSL3|ACSL1|ACSL6","85041","85364|85385|85319|85355|85232","2.6E-4","","KW-1000","0.19665762445130502","0"
"4","2","WikiPathways","","Peroxisomal beta-oxidation of tetracosanoyl-CoA","0.0108","ACOX1|ACAA1","85041","85220|85133","2.8E-4","","WP1941","0.19665762445130502","0"
"4","2","WikiPathways","","Downregulation of ACE2 by SARS-CoV-2 spike protein","0.0108","ACE|ACE2","85041","85298|85271","2.8E-4","","WP4799","0.19665762445130502","0"
"18","3","GO Biological Process","","Coenzyme A metabolic process","0.0109","ACAT1|ACOT7|ACLY","85041","85376|85178|85253","9.97E-5","","GO:0015936","0.19625735020593765","0"
"18","3","GO Biological Process","","Fatty acid derivative catabolic process","0.0109","ABCD1|ACAT1|ACOT7","85041","85151|85376|85178","9.97E-5","","GO:1901569","0.19625735020593765","0"
"13188","73","GO Cellular Component","","Membrane-bounded organelle","0.0114","ABCC6|ABCD1|ACP5|ABHD11|ACTA2|ACOT13|AADAC|ACADL|ACOT2|ACTR5|ACKR4|ABHD17A|ACTN4|ACSBG1|AARS1|ACTR3|ABCB6|ABCB4|ACAT1|ABHD2|ACP1|ABCA12|ABT1|AASDHPPT|ACAD8|ABCA6|ACAA2|ACE|ACOX1|ABHD6|ABCE1|ABCB8|ABCA3|ACHE|ABCF1|A2M|ACSM5|ACAA1|ACSL4|ACACB|ACOX3|ABCD4|ACSL3|ABCG1|ACTN2|ACKR1|ACTR1A|ABCA4|ACOT11|ABCC10|ABCA1|ACOT7|ACTR2|ACY1|AAK1|ACTG2|ACE2|ACTL6A|AARSD1|AASS|ACSL1|ABCB9|ACSS3|ACTG1|ACP6|ACLY|ABCA8|AATF|ABCB1|ACTB|ABHD5|ABCG2|ACSL6","85041","85193|85151|85301|85244|85130|85286|85181|85289|85310|85361|85139|85292|85160|85367|85226|85223|85364|85169|85376|85250|85145|85208|85148|85358|85157|85325|85214|85298|85220|85262|85268|85274|85241|85154|85343|85370|85295|85133|85385|85229|85349|85259|85319|85196|85373|85205|85382|85328|85163|85340|85334|85178|85316|85235|85277|85256|85271|85238|85187|85217|85355|85142|85247|85202|85199|85253|85313|85190|85352|85346|85283|85280|85232","1.4E-4","","GO:0043227","0.19430951486635273","0"
"422","9","GO Biological Process","","Response to xenobiotic stimulus","0.0115","ABCC6|AADAC|ABCC3|ACE|ABCA3|ACAA1|ACACB|ACSL1|ABCB1","85041","85193|85181|85307|85298|85241|85133|85229|85355|85352","1.1E-4","","GO:0009410","0.19393021596463883","0"
"1978","20","UniProt Keywords","","Transport","0.0115","ABCC6|ABCD1|ACTN4|ABCC9|ABCB6|ABCB4|ABCA12|ABCA6|ABCC3|ABCB8|ABCA3|ABCD4|ABCG1|ABCA4|ABCC10|ABCA1|ABCB9|ABCA8|ABCB1|ABCG2","85041","85193|85151|85160|85166|85364|85169|85208|85325|85307|85274|85241|85259|85196|85328|85340|85334|85142|85313|85352|85280","2.9E-4","","KW-0813","0.19393021596463883","0"
"2","2","GO Biological Process","","Lysine biosynthetic process via aminoadipic acid","0.012","AASDHPPT|AASS","85041","85358|85217","1.1E-4","","GO:0019878","0.19208187539523752","0"
"2","2","GO Biological Process","","Lysobisphosphatidic acid metabolic process","0.012","ABHD6|ACP6","85041","85262|85199","1.1E-4","","GO:2001311","0.19208187539523752","0"
"54","4","GO Biological Process","","Mesenchyme morphogenesis","0.0124","ACTA2|ACVRL1|ACTG2|ACVR1","85041","85130|85322|85256|85184","1.2E-4","","GO:0072132","0.1906578314837765","0"
"3","2","GO Molecular Function","","Ser-tRNA(Ala) hydrolase activity","0.0125","AARS1|AARSD1","85041","85226|85187","1.9E-4","","GO:0002196","0.19030899869919435","0"
"3","2","GO Molecular Function","","Sphingolipid floppase activity","0.0125","ABCA1|ABCB1","85041","85334|85352","1.9E-4","","GO:0046623","0.19030899869919435","0"
"3","2","GO Molecular Function","","palmitoyl-CoA ligase activity","0.0125","ACSL4|ACSL3","85041","85385|85319","1.9E-4","","GO:0090433","0.19030899869919435","0"
"74","4","WikiPathways","","Arrhythmogenic right ventricular cardiomyopathy","0.0127","ACTN4|ACTN2|ACTG1|ACTB","85041","85160|85373|85202|85346","3.7E-4","","WP2118","0.18961962790440431","0"
"29","3","WikiPathways","","Lipid metabolism pathway","0.0127","ACSBG1|ACLY|ABHD5","85041","85367|85253|85283","3.6E-4","","WP3965","0.18961962790440431","0"
"29","3","WikiPathways","","Eicosanoid metabolism via lipooxygenases (LOX)","0.0127","ACOX1|ACAA1|ACOX3","85041","85220|85133|85349","3.6E-4","","WP4721","0.18961962790440431","0"
"172","6","GO Biological Process","","Regulation of lipid biosynthetic process","0.0132","ABCD1|ACADL|ABHD6|ABCA3|ACSL3|ABCG1","85041","85151|85289|85262|85241|85319|85196","1.3E-4","","GO:0046890","0.18794260687941503","0"
"249","7","GO Biological Process","","Carboxylic acid transport","0.0132","ABCC6|ABCB4|ABCC3|ACE|ABCC10|ACE2|ABCG2","85041","85193|85169|85307|85298|85340|85271|85280","1.3E-4","","GO:0046942","0.18794260687941503","0"
"31","3","WikiPathways","","Eicosanoid metabolism via cyclooxygenases (COX)","0.0134","ACOX1|ACAA1|ACOX3","85041","85220|85133|85349","4.3E-4","","WP4719","0.18728952016351924","0"
"105","5","Reactome Pathways","","Drug ADME","0.0135","ABCC3|ACSM5|ACY1|ABCB1|ABCG2","85041","85307|85295|85235|85352|85280","1.2E-4","","HSA-9748784","0.1869666231504994","0"
"157","5","KEGG Pathways","","Tight junction","0.0137","ACTN4|ACTR3|ACTR2|ACTG1|ACTB","85041","85160|85223|85316|85202|85346","7.1E-4","","hsa04530","0.18632794328435934","0"
"88","4","KEGG Pathways","","Bile secretion","0.0137","ABCB4|ABCC3|ABCB1|ABCG2","85041","85169|85307|85352|85280","6.9E-4","","hsa04976","0.18632794328435934","0"
"3","2","GO Cellular Component","","Lamellar body membrane","0.014","ABCA12|ABCA3","85041","85208|85241","1.9E-4","","GO:0097232","0.18538719643217622","0"
"3","2","COMPARTMENTS","","Lamellar body membrane","0.0142","ABCA12|ABCA3","85041","85208|85241","1.9E-4","","GOCC:0097232","0.18477116556169434","0"
"3","2","COMPARTMENTS","","Dense body","0.0142","ACTG1|ACTB","85041","85202|85346","1.9E-4","","GOCC:0097433","0.18477116556169434","0"
"2079","21","COMPARTMENTS","","Extracellular region","0.0144","ABCC6|ACTA2|ACTN4|ABCB6|ACE|ACHE|A2M|ACSL4|ACVR2B|ABCG1|ABCA1|ACY1|ACTG2|ACE2|AAMP|ACVR1|ACVR1B|ACTG1|ACLY|ABCB1|ACTB","85041","85193|85130|85160|85364|85298|85154|85370|85385|85175|85196|85334|85235|85256|85271|85172|85184|85211|85202|85253|85352|85346","2.0E-4","","GOCC:0005576","0.18416375079047503","0"
"6","2","WikiPathways","","Linoleic acid metabolism affected by SARS-CoV-2","0.0154","ACOT2|ACE2","85041","85310|85271","5.1E-4","","WP4853","0.1812479279163537","0"
"21","3","GO Biological Process","","Negative regulation of lipid storage","0.0155","ABCG1|ABCA1|ABHD5","85041","85196|85334|85283","1.5E-4","","GO:0010888","0.18096683018297086","0"
"312","8","TISSUES","","Stomach","0.0168","ACTA2|AACS|ACSL4|ACOT7|ACTG2|ABLIM3|ACTG1|ACTB","85041","85130|85304|85385|85178|85256|85331|85202|85346","7.62E-5","","BTO:0001307","0.17746907182741373","0"
"65","4","GO Cellular Component","","Stress fiber","0.017","ACTA2|ACTN4|ABLIM1|ABLIM3","85041","85130|85160|85265|85331","2.3E-4","","GO:0001725","0.1769551078621726","0"
"262","7","GO Biological Process","","Vascular process in circulatory system","0.0175","ACTA2|ABCC9|ABCC3|ACE|ACE2|ABCB1|ABCG2","85041","85130|85166|85307|85298|85271|85352|85280","1.7E-4","","GO:0003018","0.17569619513137055","0"
"18","3","STRING Clusters","","Alpha/beta hydrolase fold-1, and Serine aminopeptidase, S33","0.0175","ABHD11|ABHD17A|ABHD2","85041","85244|85292|85250","9.97E-5","","CL:13002","0.17569619513137055","0"
